Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2025-02-24,Codespaces - Linux,Storage,0.1008,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.5224,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.072,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.156,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 2 core,1.1426,hour,0.18,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 4 core,0.7397,hour,0.36,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 2 core,0.3882,hour,0.18,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1008,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 2 core,1.6766,hour,0.18,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.072,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.6436,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
