"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'prebuild""","""'dynamic/codespaces/create_codespaces_prebuilds""",52148,1584,"""'hosted""","""'codespaces-prebuild"""
"""'Repo Sync""","""'.github/workflows/repo-sync.yml""",48024,6231,"""'hosted""","""'ubuntu-latest"""
"""'check-links""","""'.github/workflows/link-check-on-pr.yml""",16316,3716,"""'hosted""","""'ubuntu-latest"""
"""'redirects""","""'.github/workflows/test.yml""",11551,3711,"""'hosted""","""'ubuntu-latest"""
"""'pageinfo""","""'.github/workflows/test.yml""",11515,3713,"""'hosted""","""'ubuntu-latest"""
"""'playwright-tests (playwright-rendering)""","""'.github/workflows/headless-tests.yml""",11355,3713,"""'hosted""","""'ubuntu-latest"""
"""'noResponse""","""'.github/workflows/no-response.yaml""",11277,11259,"""'hosted""","""'ubuntu-latest"""
"""'playwright-tests (playwright-a11y)""","""'.github/workflows/headless-tests.yml""",11154,3712,"""'hosted""","""'ubuntu-latest"""
"""'automated-pipelines""","""'.github/workflows/test.yml""",10876,3713,"""'hosted""","""'ubuntu-latest"""
"""'search""","""'.github/workflows/test.yml""",10144,3712,"""'hosted""","""'ubuntu-latest"""
"""'prebuild""","""'dynamic/codespaces/create_codespaces_prebuilds""",9437,424,"""'hosted""","""'codespaces-prebuild"""
"""'build""","""'.github/workflows/codeql.yml""",8502,1969,"""'hosted""","""'ubuntu-latest"""
"""'filterContentDir""","""'.github/workflows/content-changes-table-comment.yml""",7866,1755,"""'hosted""","""'ubuntu-latest"""
"""'local-dev""","""'.github/workflows/local-dev.yml""",7733,3727,"""'hosted""","""'ubuntu-latest"""
"""'Build and deploy Azure preview environment (public)""","""'.github/workflows/azure-preview-env-deploy-public.yml""",7663,1630,"""'hosted""","""'ubuntu-latest"""
"""'fixtures""","""'.github/workflows/test.yml""",7552,3712,"""'hosted""","""'ubuntu-latest"""
"""'frame""","""'.github/workflows/test.yml""",7462,3713,"""'hosted""","""'ubuntu-latest"""
"""'release-notes""","""'.github/workflows/test.yml""",7407,3712,"""'hosted""","""'ubuntu-latest"""
"""'graphql""","""'.github/workflows/test.yml""",7376,3712,"""'hosted""","""'ubuntu-latest"""
"""'archives""","""'.github/workflows/test.yml""",7371,3712,"""'hosted""","""'ubuntu-latest"""
"""'audit-logs""","""'.github/workflows/test.yml""",7358,3713,"""'hosted""","""'ubuntu-latest"""
"""'landings""","""'.github/workflows/test.yml""",7356,3711,"""'hosted""","""'ubuntu-latest"""
"""'rest""","""'.github/workflows/test.yml""",7353,3711,"""'hosted""","""'ubuntu-latest"""
"""'assets""","""'.github/workflows/test.yml""",7340,3713,"""'hosted""","""'ubuntu-latest"""
"""'github-apps""","""'.github/workflows/test.yml""",7339,3712,"""'hosted""","""'ubuntu-latest"""
"""'content-linter""","""'.github/workflows/test.yml""",7335,3711,"""'hosted""","""'ubuntu-latest"""
"""'content-render""","""'.github/workflows/test.yml""",7330,3713,"""'hosted""","""'ubuntu-latest"""
"""'data-directory""","""'.github/workflows/test.yml""",7320,3712,"""'hosted""","""'ubuntu-latest"""
"""'events""","""'.github/workflows/test.yml""",7318,3713,"""'hosted""","""'ubuntu-latest"""
"""'changelogs""","""'.github/workflows/test.yml""",7317,3713,"""'hosted""","""'ubuntu-latest"""
"""'webhooks""","""'.github/workflows/test.yml""",7316,3712,"""'hosted""","""'ubuntu-latest"""
"""'color-schemes""","""'.github/workflows/test.yml""",7305,3712,"""'hosted""","""'ubuntu-latest"""
"""'shielding""","""'.github/workflows/test.yml""",7303,3712,"""'hosted""","""'ubuntu-latest"""
"""'products""","""'.github/workflows/test.yml""",7293,3712,"""'hosted""","""'ubuntu-latest"""
"""'learning-track""","""'.github/workflows/test.yml""",7292,3710,"""'hosted""","""'ubuntu-latest"""
"""'early-access""","""'.github/workflows/test.yml""",7288,3713,"""'hosted""","""'ubuntu-latest"""
"""'ghes-releases""","""'.github/workflows/test.yml""",7285,3713,"""'hosted""","""'ubuntu-latest"""
"""'workflows""","""'.github/workflows/test.yml""",7265,3713,"""'hosted""","""'ubuntu-latest"""
"""'versions""","""'.github/workflows/test.yml""",7265,3711,"""'hosted""","""'ubuntu-latest"""
"""'observability""","""'.github/workflows/test.yml""",7260,3711,"""'hosted""","""'ubuntu-latest"""
"""'purge-old-workflow-runs""","""'.github/workflows/purge-old-workflow-runs.yml""",6922,3719,"""'hosted""","""'ubuntu-latest"""
"""'tracking""","""'.github/workflows/test.yml""",6741,3441,"""'hosted""","""'ubuntu-latest"""
"""'Repo Sync""","""'.github/workflows/repo-sync.yml""",4919,687,"""'hosted""","""'ubuntu-latest"""
"""'lint-code""","""'.github/workflows/lint-code.yml""",4861,3468,"""'hosted""","""'ubuntu-latest"""
"""'test-changed-content""","""'.github/workflows/test-changed-content.yml""",4810,2282,"""'hosted""","""'ubuntu-latest"""
"""'build-and-push-nonprod-cache""","""'.github/workflows/main-preview-docker-cache.yml""",4382,1696,"""'hosted""","""'ubuntu-latest"""
"""'check-links""","""'.github/workflows/link-check-on-pr.yml""",3959,831,"""'hosted""","""'ubuntu-latest"""
"""'lint-content""","""'.github/workflows/content-lint-markdown.yml""",3896,3728,"""'hosted""","""'ubuntu-latest"""
"""'noResponse""","""'.github/workflows/no-response.yaml""",3480,3477,"""'hosted""","""'ubuntu-latest"""
"""'keep-caches-warm""","""'.github/workflows/keep-caches-warm.yml""",3391,1702,"""'hosted""","""'ubuntu-latest"""
"""'playwright-tests (playwright-a11y)""","""'.github/workflows/headless-tests.yml""",3042,831,"""'hosted""","""'ubuntu-latest"""
"""'playwright-tests (playwright-rendering)""","""'.github/workflows/headless-tests.yml""",3033,831,"""'hosted""","""'ubuntu-latest"""
"""'Build and deploy Azure preview environment""","""'.github/workflows/azure-preview-env-deploy.yml""",2988,614,"""'hosted""","""'ubuntu-latest"""
"""'secret-scanning""","""'.github/workflows/test.yml""",2736,1395,"""'hosted""","""'ubuntu-latest"""
"""'triage_pulls""","""'.github/workflows/triage-pull-requests.yml""",2639,2629,"""'hosted""","""'ubuntu-latest"""
"""'notify-when-maintainers-cannot-edit""","""'.github/workflows/notify-when-maintainers-cannot-edit.yaml""",2554,2551,"""'hosted""","""'ubuntu-latest"""
