"""'Workflow""","""'Total minutes""","""'Workflow runs""","""'Jobs""","""'Runner type""","""'Runtime OS"""
"""'.github/workflows/monaco-editor.yml""",98036,25140,1,"""'hosted""","""'linux"""
"""'.github/workflows/on-comment.yml""",29693,29502,1,"""'hosted""","""'linux"""
"""'.github/workflows/latest-release-monitor.yml""",25225,25085,1,"""'hosted""","""'linux"""
"""'.github/workflows/on-label.yml""",22884,22047,1,"""'hosted""","""'linux"""
"""'.github/workflows/telemetry.yml""",17278,16679,1,"""'hosted""","""'linux"""
"""'.github/workflows/no-yarn-lock-changes.yml""",16672,16598,1,"""'hosted""","""'linux"""
"""'.github/workflows/release-pipeline-labeler.yml""",12163,11950,1,"""'hosted""","""'linux"""
"""'.github/workflows/on-open.yml""",11797,11713,1,"""'hosted""","""'linux"""
"""'.github/workflows/author-verified.yml""",11408,11384,1,"""'hosted""","""'linux"""
"""'.github/workflows/deep-classifier-runner.yml""",11189,3455,1,"""'hosted""","""'linux"""
"""'.github/workflows/no-package-lock-changes.yml""",8647,8664,1,"""'hosted""","""'linux"""
"""'.github/workflows/test-plan-item-validator.yml""",7900,7896,1,"""'hosted""","""'linux"""
"""'.github/workflows/feature-request.yml""",7355,7227,1,"""'hosted""","""'linux"""
"""'dynamic/codespaces/create_codespaces_prebuilds""",7102,268,1,"""'hosted""","""'linux"""
"""'dynamic/codespaces/create_codespaces_prebuilds_development""",5209,268,1,"""'hosted""","""'linux"""
"""'dynamic/codespaces/create_codespaces_prebuilds_ppe""",5148,268,1,"""'hosted""","""'linux"""
"""'.github/workflows/deep-classifier-assign-monitor.yml""",3619,3608,1,"""'hosted""","""'linux"""
"""'.github/workflows/deep-classifier-unassign-monitor.yml""",2086,2084,1,"""'hosted""","""'linux"""
"""'.github/workflows/deep-classifier-scraper.yml""",1295,6,1,"""'hosted""","""'linux"""
"""'.github/workflows/needs-more-info-closer.yml""",277,141,1,"""'hosted""","""'linux"""
"""'.github/workflows/locker.yml""",220,161,1,"""'hosted""","""'linux"""
"""'.github/workflows/on-reopen.yml""",122,122,1,"""'hosted""","""'linux"""
"""'.github/workflows/english-please.yml""",92,92,1,"""'hosted""","""'linux"""
"""'dynamic/dependabot/dependabot-updates""",75,68,1,"""'hosted""","""'linux"""
"""'.github/workflows/pr-chat.yml""",9,9,1,"""'hosted""","""'linux"""
